subjCode	lang	seed	frame	ori	respMapping	room	date_time	expName	standardStim	textShown	frame	tilt	direction	orientation	adjustingStim	standardStimPos	adjustingStimPos
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	CLCL_upright_10_left	CLCL	none	10	left	upright	gabor	(13, 0)	(-7, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	9L9L_inverted_6_left	9L9L	none	6	left	inverted	gabor	(-12, 0)	(0, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	9L9L_inverted_8_right	9L9L	none	8	right	inverted	gabor	(13, 0)	(12, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	9L9L_inverted_10_left	9L9L	full	10	left	inverted	gabor	(11, 0)	(-12, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	9L9L_inverted_4_left	9L9L	full	4	left	inverted	gabor	(3, 0)	(-4, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	9L9L_upright_8_right	9L9L	full	8	right	upright	gabor	(13, 0)	(13, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	9L9L_upright_4_left	9L9L	full	4	left	upright	gabor	(-15, 0)	(3, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	CLCL_inverted_2_right	CLCL	full	2	right	inverted	gabor	(13, 0)	(-13, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	CLCL_inverted_2_right	CLCL	none	2	right	inverted	gabor	(9, 0)	(6, -150)
tiet2	e	10	both	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-30 15:58	tiltH_blocked	CLCL_inverted_12_left	CLCL	full	12	left	inverted	gabor	(9, 0)	(-11, -150)
