subjCode	lang	seed	frame	ori	respMapping	room	date_time	expName	standardStim	textShown	frame	tilt	direction	orientation	adjustingStim	standardStimPos	adjustingStimPos
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_8_left	CLCL	basic	8	left	upright	gabor	(-9, 0)	(-5, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_10_left	9L9L	basic	10	left	inverted	gabor	(6, 0)	(7, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_8_left	CLCL	basic	8	left	inverted	gabor	(10, 0)	(5, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_6_left	CLCL	basic	6	left	upright	gabor	(11, 0)	(0, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_12_right	9L9L	basic	12	right	inverted	gabor	(-14, 0)	(1, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_12_left	9L9L	basic	12	left	inverted	gabor	(0, 0)	(-14, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_4_right	CLCL	basic	4	right	inverted	gabor	(10, 0)	(7, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_10_left	9L9L	basic	10	left	upright	gabor	(3, 0)	(-11, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_8_left	9L9L	basic	8	left	inverted	gabor	(-11, 0)	(14, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_8_right	9L9L	basic	8	right	upright	gabor	(-14, 0)	(-13, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_12_right	9L9L	basic	12	right	inverted	gabor	(-15, 0)	(-6, -150)
