subjCode	lang	seed	frame	ori	respMapping	room	date_time	expName	standardStim	textShown	frame	tilt	direction	orientation	adjustingStim	standardStimPos	adjustingStimPos
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_10_right	9L9L	none	10	right	inverted	gabor	(-12, 0)	(9, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_8_right	9L9L	none	8	right	inverted	gabor	(-2, 0)	(0, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_8_right	9L9L	none	8	right	inverted	gabor	(-7, 0)	(0, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_4_left	9L9L	none	4	left	inverted	gabor	(-12, 0)	(-15, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_12_left	9L9L	none	12	left	upright	gabor	(9, 0)	(2, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_10_right	9L9L	none	10	right	upright	gabor	(4, 0)	(5, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_10_left	CLCL	none	10	left	upright	gabor	(4, 0)	(1, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_2_left	CLCL	none	2	left	inverted	gabor	(-11, 0)	(-6, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_4_left	CLCL	none	4	left	upright	gabor	(9, 0)	(8, -150)
subjCode	e	10	none	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_4_right	CLCL	none	4	right	inverted	gabor	(6, 0)	(11, -150)
